timestamp_utc,time_ns,seconds_elapsed,x,y,z
2026-09-17T08:54:13.109113,1789635253109113000,0.069113037109375,-197.770263671875,113.72711181640624,-392.0662536621094
2026-09-17T08:54:13.119436,1789635253119436000,0.07943603515625,-197.6576385498047,113.58851623535156,-391.8944091796875
2026-09-17T08:54:13.129759,1789635253129759000,0.089759033203125,-197.68699645996097,113.8000030517578,-391.820556640625
2026-09-17T08:54:13.140082,1789635253140082200,0.100082275390625,-197.72740173339844,113.79005432128906,-391.8889770507813
2026-09-17T08:54:13.150404,1789635253150404900,0.11040478515625,-197.7969970703125,113.78968811035156,-391.9350280761719
2026-09-17T08:54:13.160728,1789635253160728000,0.12072802734375,-197.6739196777344,113.59219360351562,-391.6676025390625
2026-09-17T08:54:13.171051,1789635253171051000,0.131051025390625,-197.93006896972656,113.7681884765625,-391.7775268554687
2026-09-17T08:54:13.181374,1789635253181374000,0.1413740234375,-197.7906188964844,113.65243530273438,-392.21234130859375
2026-09-17T08:54:13.191696,1789635253191696000,0.15169580078125,-197.87705993652344,113.52931213378906,-392.24224853515625
2026-09-17T08:54:13.202018,1789635253202018000,0.16201806640625,-197.82339477539065,113.62936401367188,-391.9886779785156
2026-09-17T08:54:13.212341,1789635253212341000,0.172341064453125,-197.8752288818359,113.75941467285156,-392.2257385253906
2026-09-17T08:54:13.222664,1789635253222664200,0.182664306640625,-197.83465576171875,113.7088623046875,-391.9825439453125
2026-09-17T08:54:13.232987,1789635253232987000,0.19298681640625,-197.74490356445312,113.77755737304688,-392.0281677246094
2026-09-17T08:54:13.243310,1789635253243310800,0.203310791015625,-197.80648803710935,113.65956115722656,-391.9906311035156
2026-09-17T08:54:13.253634,1789635253253634800,0.213634765625,-197.9390869140625,113.7664031982422,-391.89990234375
2026-09-17T08:54:13.263958,1789635253263958000,0.2239580078125,-197.94790649414065,113.83772277832033,-391.8176574707031
2026-09-17T08:54:13.274281,1789635253274281000,0.234281005859375,-198.0331268310547,113.83798217773438,-391.9976806640625
2026-09-17T08:54:13.284604,1789635253284604200,0.244604248046875,-198.1239318847656,113.93385314941406,-392.16351318359375
2026-09-17T08:54:13.294925,1789635253294925800,0.25492578125,-198.1431121826172,113.74072265625,-391.9886474609375
2026-09-17T08:54:13.305249,1789635253305249000,0.2652490234375,-197.9833068847656,113.87721252441406,-391.7526245117187
2026-09-17T08:54:13.315570,1789635253315570200,0.275570068359375,-198.09471130371097,113.87937927246094,-391.80963134765625
2026-09-17T08:54:13.325892,1789635253325892900,0.285892822265625,-198.11648559570312,114.00531005859376,-391.8021240234375
2026-09-17T08:54:13.336216,1789635253336216000,0.296216064453125,-198.0822601318359,113.98757934570312,-391.8424682617187
2026-09-17T08:54:13.346538,1789635253346538000,0.3065380859375,-198.13702392578125,113.9137725830078,-392.0242309570313
2026-09-17T08:54:13.356860,1789635253356860000,0.31685986328125,-198.12548828125,114.1586456298828,-392.2810974121094
2026-09-17T08:54:13.367182,1789635253367182000,0.32718212890625,-198.11737060546875,113.90730285644533,-391.92291259765625
2026-09-17T08:54:13.377503,1789635253377503000,0.3375029296875,-198.21763610839844,113.8057098388672,-392.0606689453125
2026-09-17T08:54:13.387825,1789635253387825000,0.347824951171875,-198.18157958984375,113.8103485107422,-392.07965087890625
2026-09-17T08:54:13.398145,1789635253398145800,0.358145751953125,-198.11380004882812,114.00184631347656,-392.1984252929687
2026-09-17T08:54:13.408468,1789635253408468000,0.368468017578125,-198.08018493652344,113.60910034179688,-392.3695068359375
2026-09-17T08:54:13.418790,1789635253418790100,0.3787900390625,-197.8262634277344,113.6486358642578,-392.09759521484375
2026-09-17T08:54:13.429112,1789635253429112800,0.38911279296875,-197.82748413085935,113.45457458496094,-392.3659057617187
2026-09-17T08:54:13.439435,1789635253439435000,0.39943505859375,-197.92054748535156,113.60104370117188,-392.4327697753906
2026-09-17T08:54:13.449757,1789635253449757200,0.409757080078125,-197.9676513671875,113.35108947753906,-392.3333740234375
2026-09-17T08:54:13.460079,1789635253460079400,0.420079345703125,-197.72262573242188,113.49436950683594,-392.4923095703125
2026-09-17T08:54:13.470401,1789635253470401300,0.4304013671875,-197.84437561035156,113.36941528320312,-392.5774230957031
2026-09-17T08:54:13.480722,1789635253480722400,0.440722412109375,-197.51792907714844,113.2874755859375,-392.6647644042969
2026-09-17T08:54:13.491045,1789635253491045000,0.451045166015625,-197.7469940185547,113.2965087890625,-392.7674865722656
2026-09-17T08:54:13.501367,1789635253501367300,0.4613671875,-197.75010681152344,113.32341003417967,-392.66986083984375
2026-09-17T08:54:13.511689,1789635253511689500,0.471689453125,-197.8246154785156,113.35319519042967,-392.7477416992187
2026-09-17T08:54:13.522011,1789635253522011400,0.482011474609375,-197.77391052246097,113.3528289794922,-392.72705078125
2026-09-17T08:54:13.532333,1789635253532333300,0.492333251953125,-197.96896362304688,113.43977355957033,-392.699462890625
2026-09-17T08:54:13.542655,1789635253542655200,0.5026552734375,-198.01687622070312,113.48480224609376,-392.5470581054687
2026-09-17T08:54:13.552977,1789635253552977400,0.512977294921875,-197.89356994628903,113.62530517578124,-392.7777099609375
2026-09-17T08:54:13.563299,1789635253563299300,0.52329931640625,-198.0331268310547,113.45118713378906,-392.3912353515625
2026-09-17T08:54:13.573622,1789635253573622300,0.533622314453125,-197.87503051757812,113.66317749023438,-392.5284729003906
2026-09-17T08:54:13.583944,1789635253583944400,0.5439443359375,-197.86654663085935,113.5448760986328,-392.93450927734375
2026-09-17T08:54:13.594267,1789635253594267400,0.554267333984375,-197.8967742919922,113.573974609375,-392.593505859375
2026-09-17T08:54:13.604589,1789635253604589300,0.56458935546875,-197.91844177246097,113.57829284667967,-392.40972900390625
2026-09-17T08:54:13.614913,1789635253614913300,0.574913330078125,-197.7738494873047,113.46531677246094,-392.51422119140625
2026-09-17T08:54:13.625236,1789635253625236200,0.585236328125,-197.72088623046875,113.40895080566406,-392.2000122070313
2026-09-17T08:54:13.635559,1789635253635559400,0.595559326171875,-197.7256317138672,113.5629425048828,-392.364501953125
2026-09-17T08:54:13.645882,1789635253645882400,0.60588232421875,-197.67672729492188,113.45791625976562,-392.31927490234375
2026-09-17T08:54:13.656206,1789635253656206300,0.616206298828125,-197.6952362060547,113.40567016601562,-392.6174926757813
2026-09-17T08:54:13.666530,1789635253666530300,0.6265302734375,-197.79916381835935,113.37722778320312,-392.579833984375
2026-09-17T08:54:13.676853,1789635253676853500,0.636853515625,-197.6029510498047,113.47810363769533,-392.3995361328125
2026-09-17T08:54:13.687177,1789635253687177500,0.647177490234375,-197.83901977539065,113.24122619628906,-392.632080078125
2026-09-17T08:54:13.697503,1789635253697503200,0.657503173828125,-197.53591918945312,113.35772705078124,-392.86669921875
2026-09-17T08:54:13.707827,1789635253707827500,0.667827392578125,-197.5552520751953,113.35768127441406,-392.5446472167969
2026-09-17T08:54:13.718151,1789635253718151400,0.6781513671875,-197.69354248046875,113.45913696289062,-392.5125732421875
