timestamp_utc,t_s,trip,leg,acc_x,acc_y,acc_z,acc_raw_x,acc_raw_y,acc_raw_z,grav_x,grav_y,grav_z,gyr_x,gyr_y,gyr_z,gyr_raw_x,gyr_raw_y,gyr_raw_z,mag_x,mag_y,mag_z,mag_raw_x,mag_raw_y,mag_raw_z,ori_qw,ori_qx,ori_qy,ori_qz,ori_roll,ori_pitch,ori_yaw,compass_bearing_deg,acc_magnitude,gyr_magnitude,mag_magnitude
2026-09-17T07:31:11.608857,0.0,trip3_outbound,outbound,-0.0153404664675705,-0.0378465502481907,-0.0300637143522501,-0.008880803722720213,-0.019775226245629173,-1.0055165245628193,-0.0587301473935134,-0.1601239812596701,-9.805166483443974,0.0003534299321472,-0.0011840716470032,0.0010859281755983,-0.0042791673913598,-0.003394465195015,0.0008468852029182,-7.7136688232421875,24.08269500732422,-37.941131591796875,-179.7045670755271,105.91387615823479,-398.7125003246866,-0.4211346743192392,-0.0007224254759563271,0.00866614042598687,0.9069564279487615,-0.0059896424214422,0.0163288274158823,-2.272116744009916,17.76022269353775,0.05071013900380442,0.001645046620838661,45.59612211577323
2026-09-17T07:31:11.618857,0.01,trip3_outbound,outbound,-0.037651654399030746,-0.04744766180457883,-0.07023980235123836,-0.008198956638521096,-0.020581430541334718,-1.0047117212045558,-0.05852440060384182,-0.16015184712627167,-9.805167673643371,-0.00036075041659331715,-0.0008860931809162119,0.001283492318316384,-0.004993347740100416,-0.0030964867293641666,0.0010444492875456234,-7.742337060677782,24.09527515278425,-38.2286468587676,-179.82091545013722,105.8785052175517,-399.11056475709154,-0.42113793023795737,-0.0007325693580648956,0.008663007860409421,0.9069549378838154,-0.00596865961272507,0.016331668635718635,-2.272109755021309,17.813344665353092,0.0927499731754504,0.0016008293224187356,45.847088331778366
2026-09-17T07:31:11.628857,0.02,trip3_outbound,outbound,-0.02754139758584222,-0.023674723223909996,-0.05123397985884833,-0.009005640133562516,-0.019364627822609302,-1.0055826141014035,-0.058608231895774784,-0.15979417988019895,-9.805172964750756,0.0002510077749458052,0.002194787860202693,0.0005503524682547781,-0.004381589548561195,-1.5605795396389144e-05,0.0003113094662373672,-7.8407925174747195,24.040470152971334,-38.33712182035051,-180.0000456023072,105.78967297347496,-399.0984191795874,-0.4211403430313231,-0.0007210345940861655,0.008648265104253882,0.9069539674599038,-0.0059772056511079395,0.016295191940098538,-2.272104550713246,18.06371782195402,0.06280081044769292,0.0022766173358055777,45.92556087786396
2026-09-17T07:31:11.638857,0.03,trip3_outbound,outbound,-0.04080907113393646,-0.025387921318719284,-0.02400455083115479,-0.00933427154340122,-0.018696465483687724,-1.0029256970207538,-0.05847292679327881,-0.1594613609989028,-9.805179357113584,7.294079215265666e-05,0.0007189195781035826,0.0009050437666833183,-0.004559656531354343,-0.001491473969908116,0.0006660007359720265,-7.958135141478835,24.060942366923634,-38.384998634653414,-179.9664605353744,105.870655692514,-398.9717508261157,-0.4211431101991165,-0.0007201705359900335,0.00862996498612305,0.9069528575348073,-0.005963403050301836,0.01626124956241282,-2.272098800296001,18.30158802981987,0.053722856367710584,0.0011581320902871223,45.99640184510964
2026-09-17T07:31:11.648857,0.04,trip3_outbound,outbound,-0.0223863937608162,-0.0045721333023190465,-0.043854068913495636,-0.008632982430080033,-0.01771735889342771,-1.0042799789300143,-0.05832118922275127,-0.159439786411992,-9.805180483632519,0.0005301477201309352,0.00019776473166941604,0.000454073484824658,-0.004102449603376067,-0.0020126288165773372,0.00021503046825350767,-7.955437087729591,23.999626107430608,-38.34603731772244,-179.89680928609246,105.81688675000744,-398.90468840615574,-0.4211486145788494,-0.0007267765354660217,0.008625703929112962,0.9069503368244098,-0.005947927580641715,0.016259049128544194,-2.2720868407626127,18.33941747508605,0.04944931130782419,0.0007254999819938753,45.9313575950619
2026-09-17T07:31:11.658857,0.05,trip3_outbound,outbound,-0.016570297719466838,0.01332591977215145,-0.07289423760965538,-0.007374682233188097,-0.01565571995223959,-1.0063945836656263,-0.058036123632351194,-0.15962900312391481,-9.80517869914692,-0.0016748562317178215,0.0019380146288437612,0.0023391851077645674,-0.006307453555224919,-0.0002723789334247949,0.0021001420768767673,-7.840209626358187,24.05482056650268,-38.29546488042223,-179.7685771246363,105.90976416515723,-398.83995917370777,-0.4211558403880338,-0.0007440919313320014,0.008628327661649216,0.906946942437103,-0.005918856391463876,0.016278347775229136,-2.27207105345059,18.052394475554472,0.07593236978376536,0.0034688371346784175,45.89821249111486
2026-09-17T07:31:11.668857,0.06,trip3_outbound,outbound,-0.006477602721422211,0.01551806754584739,-0.04575408399450226,-0.0065587513237068,-0.014683249454737994,-1.0044168556528417,-0.05787020752916922,-0.15988870779165743,-9.805175778980658,-0.0005303536396189779,9.684689446905067e-05,0.0037231291161707166,-0.005162950963125978,-0.0021135466535426493,0.003484086085282914,-7.815754088822136,24.119399785692973,-38.18988476122391,-179.78377351112104,105.971444146284,-398.7330608851518,-0.4211664577873025,-0.000757443194859682,0.00863676615766572,0.9069419206239396,-0.005901937686642334,0.016304833681349926,-2.2720476503790206,17.95462030625895,0.048746343037709264,0.0037619602230357964,45.83992534979293
2026-09-17T07:31:11.678857,0.07,trip3_outbound,outbound,-0.006762848555488296,0.01027534008736566,-0.02766503510274762,-0.006145830445057763,-0.015279011131517306,-1.0025925369739408,-0.058049841937830325,-0.15997423738111108,-9.805173315015578,-1.3214830226281963e-05,0.0009826205800318167,0.0015059577490319446,-0.004645812153733285,-0.0012277729696337615,0.0012669147181440475,-7.839587163395555,24.162560447976308,-38.171079427426186,-179.81512962745748,106.01164751965312,-398.76472910136636,-0.42117199273641076,-0.0007510257023544076,0.008644575514683929,0.9069392812140216,-0.005920258964036216,0.01631355531549438,-2.2720351264934457,17.975764656254984,0.030276606509510803,0.0017982287334789573,45.85106060877397
2026-09-17T07:31:11.688857,0.08,trip3_outbound,outbound,-0.017690325160094587,-0.007700516089670299,-0.04349468331970909,-0.007331250394482159,-0.017160879028977782,-1.0037737653585055,-0.05811844832898581,-0.16035648985486536,-9.805166821676114,-0.00041246571791539265,0.0013272649042512488,0.0026106264917229237,-0.005045063041422493,-0.0008831287000814421,0.002371583460835124,-7.789277565463583,24.254081047784062,-38.313347494512314,-179.741125530564,106.10807992150968,-398.9423665674657,-0.42118238154059223,-0.0007561623238484394,0.00866371844751974,0.9069342697687617,-0.005927259586568337,0.016352540451783828,-2.2720119481207592,17.804590321329584,0.04758185609451283,0.0029575548640385484,46.00919352368139
2026-09-17T07:31:11.698857,0.09,trip3_outbound,outbound,-0.01993699175604405,-0.03475073395103899,-0.055901819336800454,-0.008250939501005108,-0.01916303468205457,-1.0054350249748067,-0.05842647113220645,-0.16069535989388775,-9.805159298796617,-0.0004417284363660351,2.20412009446964e-05,0.0012942853962760608,-0.005074325759873132,-0.002188352347067,0.0010552423653882573,-7.758672132270832,24.195298161209504,-38.17521222074769,-179.7176189090937,105.99451751071192,-398.7061100987902,-0.4211930480008503,-0.0007492984510504492,0.008685996517593426,0.9069291087687511,-0.005958677269133552,0.016387099321377923,-2.271987905333725,17.77937536179933,0.06877579919986927,0.001367766249417987,45.85800120442481
