timestamp_utc,time_ns,seconds_elapsed,magneticBearing
2026-09-17T07:32:00.560400,1789630320560400600,49.00240063476563,21.630387279327746
2026-09-17T07:32:00.570359,1789630320570359800,49.01235986328125,21.47815786837676
2026-09-17T07:32:00.580319,1789630320580319700,49.02231982421875,21.692697477383007
2026-09-17T07:32:00.590279,1789630320590279700,49.03227978515625,21.61156371565862
2026-09-17T07:32:00.600238,1789630320600238600,49.04223852539062,21.489995761949913
2026-09-17T07:32:00.610198,1789630320610198800,49.05219873046875,21.751530443611408
2026-09-17T07:32:00.620158,1789630320620158700,49.06215869140625,21.763710290159043
2026-09-17T07:32:00.630118,1789630320630118700,49.07211865234375,21.562623925671833
2026-09-17T07:32:00.640077,1789630320640077600,49.08207763671875,21.72373164404981
2026-09-17T07:32:00.650037,1789630320650037800,49.09203784179687,21.729010250436847
2026-09-17T07:32:00.659997,1789630320659997700,49.101997802734374,21.729010250436847
2026-09-17T07:32:00.669956,1789630320669956600,49.11195654296875,21.781606060707663
2026-09-17T07:32:00.679916,1789630320679916500,49.12191650390625,21.768545585713763
2026-09-17T07:32:00.689876,1789630320689876500,49.13187646484375,21.665296581279755
2026-09-17T07:32:00.699835,1789630320699835600,49.141835693359376,21.73125092177787
2026-09-17T07:32:00.709795,1789630320709795800,49.1517958984375,21.810989059944585
2026-09-17T07:32:00.719755,1789630320719755800,49.161755859375,22.066621136501563
2026-09-17T07:32:00.729715,1789630320729715700,49.1717158203125,21.807623507768135
2026-09-17T07:32:00.739674,1789630320739674600,49.181674560546874,21.81585910815763
2026-09-17T07:32:00.749634,1789630320749634800,49.191634765625,21.63541106079917
2026-09-17T07:32:00.759594,1789630320759594800,49.2015947265625,21.67157951542351
2026-09-17T07:32:00.769553,1789630320769553700,49.2115537109375,21.61509064938827
2026-09-17T07:32:00.779513,1789630320779513600,49.221513671875,21.73153087730802
2026-09-17T07:32:00.789473,1789630320789473800,49.231473876953125,21.734539016222634
2026-09-17T07:32:00.799432,1789630320799432700,49.2414326171875,21.52812411248711
2026-09-17T07:32:00.809392,1789630320809392600,49.251392578125,21.563159870471083
2026-09-17T07:32:00.819352,1789630320819352600,49.2613525390625,21.771207899399673
2026-09-17T07:32:00.829312,1789630320829312500,49.2713125,21.93158890722126
2026-09-17T07:32:00.839271,1789630320839271400,49.281271484375,21.772909433164447
2026-09-17T07:32:00.849231,1789630320849231600,49.29123168945313,21.20860102050654
2026-09-17T07:32:00.859191,1789630320859191600,49.30119165039063,21.21005876359306
2026-09-17T07:32:00.869150,1789630320869150700,49.311150634765625,21.600385741218677
2026-09-17T07:32:00.879110,1789630320879110700,49.321110595703125,21.813688784657785
2026-09-17T07:32:00.889070,1789630320889070800,49.33107080078125,21.584067121200835
2026-09-17T07:32:00.899029,1789630320899029800,49.34102978515625,21.85042191055717
2026-09-17T07:32:00.908989,1789630320908989700,49.35098974609375,21.56751004761848
2026-09-17T07:32:00.918949,1789630320918949600,49.36094970703125,21.535309662376285
2026-09-17T07:32:00.928908,1789630320928908500,49.37090844726563,21.418444611391656
2026-09-17T07:32:00.938868,1789630320938868700,49.38086865234375,21.418444611391656
2026-09-17T07:32:00.948829,1789630320948829200,49.3908291015625,21.525991441582484
2026-09-17T07:32:00.958789,1789630320958789000,49.4007890625,21.402140180621902
2026-09-17T07:32:00.968748,1789630320968748000,49.410748046875,21.706905379706907
2026-09-17T07:32:00.978708,1789630320978708000,49.4207080078125,21.60173605287163
2026-09-17T07:32:00.988668,1789630320988668200,49.43066821289062,21.7409977166671
2026-09-17T07:32:00.998627,1789630320998627000,49.440626953125,21.959189414847156
2026-09-17T07:32:01.008587,1789630321008587000,49.4505869140625,21.79324351269878
2026-09-17T07:32:01.018547,1789630321018547000,49.460546875,21.8479610259108
2026-09-17T07:32:01.028506,1789630321028506000,49.470506103515625,21.54853393744886
2026-09-17T07:32:01.038466,1789630321038466300,49.48046630859375,21.528015848658782
2026-09-17T07:32:01.048426,1789630321048426200,49.49042626953125,21.48910711733431
2026-09-17T07:32:01.058386,1789630321058386200,49.50038623046875,21.62724170907758
2026-09-17T07:32:01.068345,1789630321068345000,49.51034497070312,21.789843091349844
2026-09-17T07:32:01.078305,1789630321078305000,49.520304931640624,21.935382226239035
2026-09-17T07:32:01.088265,1789630321088265200,49.53026513671875,21.90916236345602
2026-09-17T07:32:01.098224,1789630321098224000,49.54022412109375,21.824830980090944
2026-09-17T07:32:01.108184,1789630321108184000,49.55018408203125,22.13512132091599
2026-09-17T07:32:01.118144,1789630321118144000,49.56014404296875,21.80414175404655
2026-09-17T07:32:01.128103,1789630321128103000,49.57010302734375,21.667049598446344
2026-09-17T07:32:01.138063,1789630321138063000,49.58006298828125,21.727696746930445
2026-09-17T07:32:01.148023,1789630321148023000,49.59002294921875,21.92324445966225
2026-09-17T07:32:01.157983,1789630321157983000,49.59998291015625,21.83421399341936
2026-09-17T07:32:01.167942,1789630321167942100,49.60994213867187,21.93335947721456
2026-09-17T07:32:01.177902,1789630321177902300,49.61990234375,21.71771776027172
2026-09-17T07:32:01.187862,1789630321187862300,49.6298623046875,21.069064029904386
