timestamp_utc,time_ns,seconds_elapsed,latitude,longitude,altitude,horizontalAccuracy,verticalAccuracy
2026-09-17T08:26:23.069284,1789633583069284900,-43.25871508789062,58.39844765267229,15.577631676500296,107.37753251699117,16.09840842155039,30.0
2026-09-17T08:27:06.377483,1789633626377483800,0.04948388671875,58.398318376342424,15.577709802565057,103.63582199456371,53.995014,30.0
2026-09-17T08:27:06.420393,1789633626420393000,0.09239306640625,58.398319510954835,15.577704515160196,0.0,54.517733503008714,-1.0
2026-09-17T08:27:06.987600,1789633626987600000,0.659599853515625,58.398380325305645,15.57762992647866,107.26680105953152,18.78132051625968,30.0
2026-09-17T08:27:13.588349,1789633633588349000,7.260348876953125,58.39838597339339,15.577626203931915,107.3317813388181,15.057772369069582,30.0
2026-09-17T08:27:15.816968,1789633635816968000,9.488968017578124,58.39838143543538,15.577636509570109,107.43243908304538,18.425432065535755,30.696685278896375
2026-09-17T08:27:20.047484,1789633640047484000,13.71948388671875,58.39831131670498,15.57766100697348,107.12202389244442,18.62753083005148,30.0
2026-09-17T08:27:26.959146,1789633646959146000,20.63114599609375,58.39823993429616,15.577678968034576,107.2211153657666,22.96201190988,30.0
2026-09-17T08:27:33.861954,1789633653861954000,27.5339541015625,58.39826404058952,15.57724578756264,107.37350241152298,22.95255535245895,30.0
2026-09-17T08:27:40.467417,1789633660467417000,34.1394169921875,58.39827554766459,15.577057105959826,107.29094730618402,25.10616093772361,30.0
2026-09-17T08:27:47.069474,1789633667069474000,40.74147412109375,58.3982874199702,15.57716570508632,107.28912650735192,18.844397344558416,30.0
2026-09-17T08:27:53.667309,1789633673667309000,47.33930908203125,58.398285285665494,15.577199234541872,106.94735256470682,17.61932453967739,30.0
2026-09-17T08:28:00.205803,1789633680205803800,53.8778037109375,58.398288125465,15.577053391942917,106.45850457519532,17.577601738667454,30.0
2026-09-17T08:28:06.806209,1789633686806209000,60.478208984375,58.398289368505424,15.576869798703251,106.3808615197623,19.028136237054714,30.0
2026-09-17T08:28:11.113028,1789633691113028000,64.78502807617187,58.3982901164935,15.576808994800942,106.15436930501082,28.653651029294696,30.08634924025821
2026-09-17T08:28:11.974018,1789633691974018000,65.64601806640626,58.3982898344313,15.57680928130514,106.32287510636704,28.92709520169786,30.142623786480065
2026-09-17T08:28:13.414345,1789633693414345000,67.08634497070312,58.39826362068399,15.576708049448044,106.22849905442638,23.234588850110782,30.0
2026-09-17T08:28:20.052613,1789633700052613000,73.72461303710938,58.39826112207951,15.576717924776435,106.26309187520464,23.7205049002433,30.0
