timestamp_utc,time_ns,seconds_elapsed,x,y,z
2026-09-17T07:31:11.605486,1789630271605486800,0.04748681640625,-179.6861114501953,105.905517578125,-398.5250549316406
2026-09-17T07:31:11.615813,1789630271615813000,0.057813232421875,-179.74264526367188,105.93112182617188,-399.0992431640625
2026-09-17T07:31:11.626137,1789630271626137900,0.068137939453125,-180.008056640625,105.75270080566406,-399.13763427734375
2026-09-17T07:31:11.636462,1789630271636462800,0.078462890625,-179.97764587402344,105.89305114746094,-398.98876953125
2026-09-17T07:31:11.646786,1789630271646786800,0.088786865234375,-179.92942810058594,105.7965087890625,-398.9154052734375
2026-09-17T07:31:11.657112,1789630271657112800,0.09911279296875,-179.76678466796875,105.89811706542967,-398.8619689941406
2026-09-17T07:31:11.667436,1789630271667436800,0.109436767578125,-179.7773895263672,105.96702575683594,-398.7317504882813
2026-09-17T07:31:11.677761,1789630271677761800,0.11976171875,-179.8237762451172,105.99913024902344,-398.74127197265625
2026-09-17T07:31:11.688088,1789630271688088000,0.130088134765625,-179.7423095703125,106.1170654296875,-398.9622802734375
2026-09-17T07:31:11.698412,1789630271698412800,0.140412841796875,-179.72642517089844,105.99652099609376,-398.6951293945313
2026-09-17T07:31:11.708737,1789630271708737000,0.150737060546875,-179.52206420898438,105.95002746582033,-398.949951171875
2026-09-17T07:31:11.719061,1789630271719061800,0.161061767578125,-179.702392578125,106.20669555664062,-398.93597412109375
2026-09-17T07:31:11.729386,1789630271729386800,0.17138671875,-179.7599334716797,105.98391723632812,-398.73919677734375
2026-09-17T07:31:11.739712,1789630271739712000,0.1817119140625,-179.79551696777344,105.9491729736328,-398.72845458984375
2026-09-17T07:31:11.750037,1789630271750037000,0.192037109375,-179.72499084472656,106.09620666503906,-399.1276550292969
2026-09-17T07:31:11.760362,1789630271760362000,0.202362060546875,-179.8203582763672,105.77096557617188,-398.92529296875
2026-09-17T07:31:11.770687,1789630271770687000,0.21268701171875,-179.52304077148438,105.54534912109376,-398.62353515625
2026-09-17T07:31:11.781011,1789630271781011000,0.223010986328125,-179.5547332763672,105.84512329101562,-398.4769287109375
2026-09-17T07:31:11.791336,1789630271791336000,0.2333359375,-179.56027221679688,105.83612060546876,-398.65240478515625
2026-09-17T07:31:11.801660,1789630271801660000,0.243659912109375,-179.8521728515625,105.86941528320312,-398.7098083496094
2026-09-17T07:31:11.811984,1789630271811984000,0.25398388671875,-179.81906127929688,105.95970153808594,-398.8923950195313
2026-09-17T07:31:11.822307,1789630271822307800,0.264307861328125,-179.7013397216797,105.9327392578125,-398.9763488769531
2026-09-17T07:31:11.832633,1789630271832633000,0.274633056640625,-179.72564697265625,105.82203674316406,-398.82025146484375
