timestamp_utc,t_s,t_s_recording,trip,leg,acc_x,acc_y,acc_z,acc_raw_x,acc_raw_y,acc_raw_z,grav_x,grav_y,grav_z,gyr_x,gyr_y,gyr_z,gyr_raw_x,gyr_raw_y,gyr_raw_z,mag_x,mag_y,mag_z,mag_raw_x,mag_raw_y,mag_raw_z,ori_qw,ori_qx,ori_qy,ori_qz,ori_roll,ori_pitch,ori_yaw,compass_bearing_deg,acc_magnitude,gyr_magnitude,mag_magnitude
2026-09-17T07:24:16.272871,0.0,0.0,trip2_return,return,0.3153407551249489,0.1414442143015563,-0.1273790102005005,0.07490538601101979,-0.08811953423053187,-1.0124589709333858,0.4180331409016624,-0.9937800053171812,-9.747206461906432,-0.0070351110771298,0.000895972829312,-0.0184610802680253,-0.011616175994277,-0.0012620720081031,-0.0187667626887559,-15.464324951171877,-4.626220703125,-28.20306396484375,-187.48050256118427,77.88519736407298,-387.2979222151976,-0.08588178646501543,-0.025631768177759126,0.04872154705544056,0.994783163340727,0.0428612153494144,0.1015116045757741,-2.9715330407895273,106.6547844795554,0.36833635422235583,0.019776426366785605,32.49553940457871
2026-09-17T07:24:16.282871,0.01,0.01,trip2_return,return,0.33846263545225574,0.11310033152036424,0.00825044264598075,0.07568668963559777,-0.0885210514171343,-0.9983489256719534,0.4181086717087466,-0.9931129934316945,-9.74727148852897,-0.009769078185865414,-0.00024434523189905435,0.004410541112696817,-0.014350143099177983,-0.00240239006739699,0.004104858228222182,-15.464767866973604,-4.626356656287403,-28.202854129556123,-187.67657017687446,77.81461984971509,-387.20108232932387,-0.08585028154099839,-0.025631091178173478,0.04868802167227062,0.9947875415735704,0.04286866466484693,0.10144324011742158,-2.971595564728725,106.65479614069648,0.3569547735934589,0.010721355609282446,32.49558742573482
2026-09-17T07:24:16.292871,0.02,0.02,trip2_return,return,0.26596505769559003,0.07627343702044397,0.0790084154495028,0.07263030695387306,-0.0917943828224351,-0.9882919386401996,0.4184084957695527,-0.9912261080791188,-9.74745050500745,-0.032000851276693484,0.009615574145320592,0.020229411623448983,-0.036581915262517986,0.007457529762196865,0.01992372920271838,-15.571014444475614,-4.660293595538319,-28.15269571574843,-187.5898386533995,77.73964604010311,-387.26888770533793,-0.0859175367196369,-0.025641208874492453,0.048588764147985,0.9947863274543213,0.04289858228012048,0.10124983754753863,-2.9714585030578253,106.66208482953925,0.2877453367506959,0.03906075835423764,32.50767760530123
2026-09-17T07:24:16.302871,0.03,0.03,trip2_return,return,0.1819039689564864,0.04536559343872542,0.07182667837701542,0.06414767527280633,-0.0950066649221789,-0.9865107428449703,0.41998361657070754,-0.9873366298704882,-9.747777118374932,-0.04983748434649954,0.024337490013700863,0.028832467752852545,-0.05441854833232404,0.02217944425628911,0.028526785332121947,-15.463420250949348,-4.787619473410671,-28.226682697118246,-187.4664113046875,77.77606259882567,-387.42491592346965,-0.08605116789708758,-0.025710496067936763,0.04838012667702203,0.9947831573957225,0.04305843261429002,0.10085118809212186,-2.971190802766833,107.20301283909807,0.20076394775169495,0.06250919502660275,32.53896559762535
2026-09-17T07:24:16.312871,0.04,0.04,trip2_return,return,0.0855636068146193,0.0026861132036293525,0.027395883842476088,0.05466602715667157,-0.09864057906326776,-0.9899300788520857,0.42189920905438605,-0.9820748790655378,-9.74822627337854,-0.05973978512457286,0.016312444525537265,0.03073316220860678,-0.06432084911039736,0.014154399688122068,0.030427479787876178,-15.484612747457197,-4.705997320297305,-28.331406925002806,-187.51709917939272,77.9057500225888,-387.2828554422648,-0.08621610399565859,-0.025792426349385108,0.04809922024061049,0.994780377353246,0.043252595003551345,0.10031191328419416,-2.9708592840906216,106.90478396274231,0.08988259267945001,0.06913367509737497,32.62802876465963
2026-09-17T07:24:16.322871,0.05,0.05,trip2_return,return,0.033155097211669114,-0.049687067965394315,-0.06936289020476717,0.04818548401942522,-0.10297911288591237,-0.9976171002630894,0.4223548787139613,-0.9766218915145205,-9.74875417518284,-0.050854850410077444,0.00022681011811094594,0.027598952531752135,-0.05543591439590205,-0.0019312347145834495,0.027293270111021537,-15.511825903407976,-4.609087145455507,-28.07739399168607,-187.4655847794151,77.96025651931366,-387.1231837900064,-0.08637285192759263,-0.025798692631499517,0.04781512693293158,0.9947803132072865,0.04329690833359741,0.09975307077780106,-2.9705365982973966,106.54846097547237,0.09153838392538689,0.057861640435706095,32.40679682622784
2026-09-17T07:24:16.332871,0.06,0.06,trip2_return,return,0.025691854321399844,-0.1012359689429512,-0.182728902226635,0.046013837776663485,-0.10780726397986329,-1.0086643232234862,0.4222720569722587,-0.9727323734844568,-9.749146710527263,-0.027707062112264164,0.006245880217157816,0.027883891654812542,-0.03228812612071641,0.004087835584288663,0.02757820923408194,-15.420394728714276,-4.580888670187534,-28.071705340060728,-187.47717186436176,77.9088313681218,-387.1781871586125,-0.08651200016651855,-0.025783664944665396,0.04761357926761416,0.9947782785719319,0.043286690010055084,0.09935447959206313,-2.9702494039480722,106.54491102696504,0.2104724316751278,0.03980205678601638,32.354192236821575
2026-09-17T07:24:16.342871,0.07,0.07,trip2_return,return,-0.016069931297443694,-0.090863128317937,-0.2084582350348398,0.04281951195605212,-0.10900142816712989,-1.0146937280115627,0.4234079094910198,-0.9714862793874587,-9.749221849960287,-0.002182498420493042,0.023688585856336156,0.029621469730841284,-0.0067635633343460155,0.021530540087598356,0.029315787310110687,-15.536534111967423,-4.656515126528446,-28.08056357155121,-187.54486241245698,77.89086853653288,-387.24635311064503,-0.08666069161169772,-0.025842977688983686,0.04754121066456696,0.9947672583685573,0.04340264419480631,0.0992267784283554,-2.969953796359944,106.68418208119711,0.22796751201315277,0.03799136570648139,32.42815251955999
2026-09-17T07:24:16.352871,0.08,0.08,trip2_return,return,-0.105323266319403,-0.07917609861522741,-0.08645014388791662,0.03567344321650332,-0.1075475393112164,-1.0077725193209865,0.4259134869464992,-0.9718377686644468,-9.749077770572685,0.0025228988242578347,0.029856104910516316,0.02431794348633762,-0.0020581660104328696,0.027698059202150068,0.02401226106560702,-15.481938649331076,-4.5854366831662485,-28.187916020884764,-187.43351826350803,78.01641785329157,-387.29723787045606,-0.08680222836535754,-0.025978862807638465,0.04754445645112683,0.9947512234216136,0.043659805597267634,0.09926280358049827,-2.9696821680812384,106.49815428909179,0.1575927422134585,0.038589045003859686,32.48500059284946
2026-09-17T07:24:16.362871,0.09,0.09,trip2_return,return,-0.1139095946100765,-0.12960499492255506,0.08091545073729313,0.03216764768535402,-0.11044512124920519,-0.9921653111090851,0.42824780571990695,-0.9713506581504758,-9.749023713540579,-0.01689093922967677,0.022977088957686038,0.018910866110161413,-0.021472005010284304,0.020819045017662307,0.018605183689430812,-15.39526338112704,-4.4790539601917825,-28.148508701107588,-187.37129465956298,78.03709615851784,-387.3187312581506,-0.08691757641901465,-0.02610099783857566,0.04750636230404588,0.9947397741931868,0.04389902977996474,0.099212884571608,-2.969460766307641,106.22166928887934,0.19057848939774605,0.034217996757064884,32.394669330754255
