timestamp_utc,time_ns,seconds_elapsed,qw,qx,qy,qz,roll,pitch,yaw
2026-09-17T08:01:38.695838,1789632098695838200,0.070838134765625,-0.8755291989174001,-0.0699087267704854,-0.065795885707757,-0.4735316057917598,0.0498832830223249,0.1857942025610883,0.986936711878413
2026-09-17T08:01:38.705796,1789632098705796400,0.08079638671875,-0.8752542054606258,-0.0696251054747656,-0.0664757084649009,-0.4739867845095868,0.0512695885358358,0.1859665936133857,0.9878705174301216
2026-09-17T08:01:38.715755,1789632098715755300,0.09075537109375,-0.8750329470813137,-0.0696621709790007,-0.0669234136937064,-0.4743266889998426,0.0519589102635041,0.1864794248504156,0.9886050211656467
2026-09-17T08:01:38.725714,1789632098725714200,0.100714111328125,-0.8749215237520119,-0.0699849446419752,-0.0669756595072473,-0.4744774619950193,0.0517095085630303,0.1871094226068679,0.988985098243424
2026-09-17T08:01:38.735673,1789632098735673000,0.110673095703125,-0.874913888617545,-0.0704371152108615,-0.0666930725167734,-0.4744643581252679,0.050774239543281,0.1876389324939099,0.9890434499154152
2026-09-17T08:01:38.745631,1789632098745631200,0.12063134765625,-0.8749555246781556,-0.0708110903032316,-0.0664075259224705,-0.4743718828421562,0.0499259638411469,0.1880227259335875,0.9889103526287298
2026-09-17T08:01:38.755590,1789632098755590100,0.130590087890625,-0.8749610554487823,-0.0709682948820291,-0.0665119010304358,-0.4743235538288283,0.0499714219912209,0.1883978253124132,0.98880592331837
2026-09-17T08:01:38.765549,1789632098765549000,0.140549072265625,-0.8748808531701242,-0.0709540643846524,-0.0670300838891357,-0.4744007915941627,0.0508919485410993,0.1888718780320388,0.9889200931790744
2026-09-17T08:01:38.775507,1789632098775507200,0.150507080078125,-0.8747265070579945,-0.0708930362017705,-0.0676748849040231,-0.4746026788069322,0.0520558819702782,0.189391590333371,0.989300431866337
2026-09-17T08:01:38.785466,1789632098785466000,0.160466064453125,-0.8745520064944915,-0.0708229636029189,-0.068225801530678,-0.4748560188204124,0.0530497962827171,0.1898092709839646,0.9898097463777392
2026-09-17T08:01:38.795425,1789632098795425300,0.17042529296875,-0.8744390842745698,-0.0707255874913295,-0.068553328067566,-0.4750311814933493,0.0536887985968512,0.1899607720069333,0.9901623525240906
2026-09-17T08:01:38.805384,1789632098805384200,0.18038427734375,-0.8744210544900776,-0.0706009096649063,-0.0685574996114012,-0.4750822114750738,0.0538049559783263,0.1897473044117273,0.9902644082916422
2026-09-17T08:01:38.815342,1789632098815342000,0.190342041015625,-0.8745008143608388,-0.0704469242008259,-0.0682078472841861,-0.4750086422476125,0.0533460051357675,0.1891360469290284,0.9901181786581074
2026-09-17T08:01:38.825301,1789632098825301200,0.20030126953125,-0.8746945169330422,-0.0701993960323057,-0.0676312847367022,-0.474771192255858,0.052608223218247,0.1881326538892901,0.9896098789338704
2026-09-17T08:01:38.835260,1789632098835260200,0.21026025390625,-0.8750163314414868,-0.0698439732489492,-0.0670106835684356,-0.4743182273061114,0.051941703061484,0.1868839530819992,0.9885969471689974
2026-09-17T08:01:38.845219,1789632098845219000,0.220218994140625,-0.87543506570417,-0.0694248965948387,-0.0665552031293349,-0.4736707392599439,0.0516711044733682,0.1856694127873396,0.9871092170909974
2026-09-17T08:01:38.855177,1789632098855177200,0.23017724609375,-0.8758932663217476,-0.068980864816373,-0.0663983574602736,-0.4729100035655647,0.0519792599381417,0.184688810231405,0.985323828450339
2026-09-17T08:01:38.865136,1789632098865136000,0.24013623046875,-0.8763192414964899,-0.0685647238109612,-0.0665335019341604,-0.472161781798498,0.0527772126627511,0.1840354197139279,0.983537836055256
2026-09-17T08:01:38.875095,1789632098875095000,0.250094970703125,-0.8766360253352171,-0.0682535519531602,-0.0668332271506111,-0.4715759664469065,0.0537331861640184,0.1837329251186876,0.9821195478325182
2026-09-17T08:01:38.885054,1789632098885054200,0.26005419921875,-0.8768277213965308,-0.0681052381076994,-0.0671136543728006,-0.471201251854154,0.0544544827604752,0.1837128523383418,0.9812082726163378
2026-09-17T08:01:38.895012,1789632098895012000,0.27001220703125,-0.8769364158530555,-0.0681453959453769,-0.0672384419370987,-0.4709752878226124,0.0546868893770199,0.1838882570630065,0.9806786750870572
2026-09-17T08:01:38.904971,1789632098904971000,0.279970947265625,-0.8770192031503793,-0.0683798880909821,-0.0671661969104144,-0.4707973511195368,0.0543723386144159,0.184224575152876,0.9803047468445476
2026-09-17T08:01:38.914930,1789632098914930200,0.28993017578125,-0.8770959059030704,-0.0687712132903355,-0.0669041722070459,-0.4706348173597086,0.0535663744440935,0.1846604480161139,0.980006905452112
2026-09-17T08:01:38.924888,1789632098924888000,0.29988818359375,-0.8771395758459389,-0.0692391193094144,-0.0665910351859747,-0.4705291472661783,0.0525841294542477,0.185187457929417,0.9798553009008424
2026-09-17T08:01:38.934847,1789632098934847200,0.30984716796875,-0.8771617944244765,-0.0697008721536316,-0.0662464796796767,-0.4704680805166809,0.0515420441865383,0.1856766472257073,0.9798100986058886
2026-09-17T08:01:38.944806,1789632098944806100,0.31980615234375,-0.8772001664590633,-0.0700556572864736,-0.0659034735196596,-0.4703922764034676,0.0506076970915308,0.1859768616430004,0.979719030854907
2026-09-17T08:01:38.954765,1789632098954765000,0.32976513671875,-0.8773029861736528,-0.0701848249563144,-0.065619641913084,-0.4702209891255171,0.0500143358458705,0.1859275521387483,0.9793747588710404
2026-09-17T08:01:38.964723,1789632098964723200,0.33972314453125,-0.8774882801740507,-0.0700432665472862,-0.0654368079905196,-0.469921521069123,0.049886440797387,0.1854864078835525,0.9786914077545286
