quantity,estimate,n_blocks,sd_between,random,thr_syst,scale_syst,systematic,total
"path length (raw, robust)",66.9840056306505,2,0.4456001863341748,0.31508691345488415,0.2629884754100402,0.026793602252260202,0.2643498351052061,0.4112913788917479
path length (polyline),67.2092915904924,2,1.139363693544213,0.8056517939428645,0.2606497628264144,0.02688371663619696,0.26203250386477134,0.8471929214559084
straight-line A-B (raw),53.90062599803721,2,0.3906651560292342,0.2762419810015721,0.2507890284941645,0.021560250399214886,0.251714086237389,0.3737239800681736
straight-line A-B (polyline),53.963433328057256,2,0.3722731046797205,0.26323683677239984,0.24276329328068869,0.021585373331222905,0.24372103911302762,0.3587388704061396
