timestamp_utc,time_ns,seconds_elapsed,qw,qx,qy,qz,roll,pitch,yaw
2026-09-17T08:00:41.304902,1789632041304902400,0.06990234375,-0.6501299791009646,-0.0455339626229909,-0.0632646149482547,-0.7558144146265913,0.0135943595989536,0.1554640851854123,1.719794849723586
2026-09-17T08:00:41.314861,1789632041314861300,0.079861328125,-0.6499215650367095,-0.045649789550261,-0.0633051910971442,-0.7559831059542421,0.0134286812399081,0.1556809757260697,1.7203437224940574
2026-09-17T08:00:41.324820,1789632041324820200,0.0898203125,-0.6496925688571707,-0.0456424325034374,-0.0633024046102453,-0.7561806464070128,0.0133886503641553,0.1556711869549777,1.7209536950366062
2026-09-17T08:00:41.334778,1789632041334778400,0.0997783203125,-0.6494645202177083,-0.0454680001850923,-0.063276902560708,-0.7563892352925278,0.0135731849730437,0.1554084520427623,1.7215609073098914
2026-09-17T08:00:41.344737,1789632041344737300,0.1097373046875,-0.6492708367378792,-0.0451456157528476,-0.0632608904776846,-0.7565759911571294,0.014002978202025,0.1549663020689642,1.7220691743097107
2026-09-17T08:00:41.354696,1789632041354696200,0.1196962890625,-0.649112084347265,-0.0447438009937837,-0.0632469146257543,-0.7567372974890716,0.0145638797050576,0.1544230924759281,1.7224821063831472
2026-09-17T08:00:41.364654,1789632041364654300,0.129654296875,-0.6489782350894612,-0.0443120854402514,-0.0632005972783742,-0.7568813224997428,0.0151328219708816,0.153791385036153,1.722834740508729
2026-09-17T08:00:41.374613,1789632041374613200,0.13961328125,-0.648846447683033,-0.043882542683986,-0.0630858545819046,-0.757028989861712,0.0156084501731504,0.1530586216841276,1.723197484378557
2026-09-17T08:00:41.384572,1789632041384572200,0.149572265625,-0.6486746027542305,-0.0435002567393702,-0.0628665845639822,-0.7572164962844784,0.0158658287325705,0.1522295292908991,1.7236907831932624
2026-09-17T08:00:41.394531,1789632041394531300,0.15953125,-0.6484613042068973,-0.043146044932422,-0.0625873972060551,-0.7574424929668137,0.0159932087353427,0.151346917386355,1.7243079065466422
2026-09-17T08:00:41.404489,1789632041404489200,0.1694892578125,-0.6482060610384827,-0.0428187142905491,-0.0623196888473756,-0.7577016343483317,0.0160869526781468,0.1505178630731867,1.7250345277481909
2026-09-17T08:00:41.414448,1789632041414448400,0.179448486328125,-0.6479060870007274,-0.0425779855021607,-0.0621453456353566,-0.7579860820730905,0.0161637186671978,0.149944935510671,1.7258615324692574
